Food Code,Food Name,fixed_name,ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,EnglishName,CG_code,CG_descr,MCS_code,MCS_descr,Approximated
16-001,Ayr ,Ayr,1,Freshwater fishes,13,Miscellaneous freshwater fishes,BGA,Sperata aor,Long-whiskered catfish,1,Freshwater fish,8,Other freshwater fish,FALSE
16-169,Bacha ,Bacha,1,Freshwater fishes,13,Miscellaneous freshwater fishes,EUV,Eutropiichthys vacha,NA,1,Freshwater fish,8,Other freshwater fish,FALSE
16-385,Bass sea  ,Seabass,3,Marine fishes,33,Miscellaneous coastal fishes,,,,7,Other marine fish,59,"Seabass, other",TRUE
16-385,Bass sea  ,Seabass,3,Marine fishes,33,Miscellaneous coastal fishes,,,,7,Other marine fish,95,"Seabass, European",TRUE
16-464,Bass sea   weighed with bones and skin,REMOVE,,,,,,,,,,,,
16-003,Bele ,Bele ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,GOU,Glossogobius giuris,Tank goby,1,Freshwater fish,8,Other freshwater fish,FALSE
16-004,Boal ,Boal ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,WAA,Wallago attu,Wallago,1,Freshwater fish,8,Other freshwater fish,FALSE
16-006,Bream Sea ,Seabream,3,Marine fishes,33,Miscellaneous coastal fishes,,,,7,Other marine fish,50,"Seabream, gilthead",TRUE
16-006,Bream Sea ,Seabream,3,Marine fishes,33,Miscellaneous coastal fishes,,,,7,Other marine fish,51,"Seabream, other",TRUE
16-172,Carp ,Carp,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",,,,1,Freshwater fish,1,Carp,TRUE
16-007,Catfish ,Catfish,1,Freshwater fishes,13,Miscellaneous freshwater fishes,,,,1,Freshwater fish,96,Freshwater catfish,TRUE
16-011,Chital ,Chital,1,Freshwater fishes,13,Miscellaneous freshwater fishes,NCC,Chitala chitala,Clown knifefish,1,Freshwater fish,8,Other freshwater fish,TRUE
16-372,Cod  ,Cod,3,Marine fishes,32,"Cods, hakes, haddocks",,,,3,Groundfish,13,Cod,TRUE
16-491,Cod  salted and smoked ,REMOVE,,,,,,,,,,,,
16-383,Coley  ,Coley,3,Marine fishes,32,"Cods, hakes, haddocks",POK,Pollachius virens,Saithe(=Pollock),3,Groundfish,21,Saithe (=Coalfish),FALSE
16-235,Crayfish ,Crayfish ,4,Crustaceans,41,Freshwater crustaceans,,,,8,Crustaceans,65,Freshwater crayfish,TRUE
16-254,Cuttlefish ,Cuttlefish ,5,Molluscs,57,"Squids, cuttlefishes, octopuses",,,,9,Cephalopods,73,Cuttlefish,TRUE
16-038,Dab ,Dab ,3,Marine fishes,31,"Flounders, halibuts, soles",,,,4,Flatfish,26,Dab,TRUE
16-039,Dover sole ,Dover sole ,3,Marine fishes,31,"Flounders, halibuts, soles",MIP,Microstomus pacificus,Dover sole,4,Flatfish,31,"Sole, other",FALSE
16-035,Eel conger  ,REMOVE,3,Marine fishes,34,Miscellaneous demersal fishes,COE,Conger conger,European conger,3,Groundfish,24,Other groundfish,FALSE
16-173,Eel yellow ,Yellow eel,3,Marine fishes,34,Miscellaneous demersal fishes,COE,Conger conger,European conger,3,Groundfish,24,Other groundfish,FALSE
16-040,Flounder ,Flounder,3,Marine fishes,31,"Flounders, halibuts, soles",FLE,Platichthys flesus,European flounder,4,Flatfish,94,"Flounder, European",TRUE
16-043,Flying fish ,Flying fish,3,Marine fishes,37,Miscellaneous pelagic fishes,FLY,Exocoetidae,Flyingfishes nei,7,Other marine fish,62,Other marine fish,FALSE
16-062,Haddock coated in crumbs frozen ,REMOVE,,,,,,,,,,,,
16-375,Haddock  ,Haddock  ,3,Marine fishes,32,"Cods, hakes, haddocks",HAD,Melanogrammus aeglefinus,Haddock,3,Groundfish,15,Haddock,FALSE
16-492,Haddock  smoked ,REMOVE,,,,,,,,,,,,
16-070,Hake  ,Hake  ,3,Marine fishes,32,"Cods, hakes, haddocks",,,,3,Groundfish,16,Hake,TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",HAL,Hippoglossus hippoglossus,Atlantic halibut,4,Flatfish,93,"Halibut, Atlantic",TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",HAP,Hippoglossus stenolepis,Pacific halibut,4,Flatfish,28,"Halibut, other",TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",GHL,Reinhardtius hippoglossoides,Greenland halibut,4,Flatfish,91,"Halibut, Greenland",TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",EPW,Eopsetta grigorjewi,Shotted halibut,7,Other marine fish,62,Other marine fish,TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",VSV,Verasper variegatus,Spotted halibut,7,Other marine fish,62,Other marine fish,TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",HAI,Psettodes erumei,Indian halibut,4,Flatfish,28,"Halibut, other",TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",BAH,Paralichthys olivaceus,Bastard halibut,4,Flatfish,28,"Halibut, other",TRUE
16-073,Halibut  ,Halibut  ,3,Marine fishes,31,"Flounders, halibuts, soles",BAX,Paralichthys spp,Bastard halibuts nei,4,Flatfish,28,"Halibut, other",TRUE
16-175,Herring  ,Herring  ,3,Marine fishes,35,"Herrings, sardines, anchovies",,,,5,Small pelagics,36,Herring,TRUE
16-184,Hilsa ,Hilsa ,2,Diadromous fishes,24,Shads,HIL,Tenualosa ilisha,Hilsa shad,5,Small pelagics,40,Miscellaneous small pelagics,FALSE
16-078,Hoki ,Hoki ,3,Marine fishes,32,"Cods, hakes, haddocks",GRN,Macruronus novaezelandiae,Blue grenadier,3,Groundfish,14,Grenadier,FALSE
16-185,Jackfish ,Jackfish ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,FPI,Esox lucius,Northern pike,1,Freshwater fish,5,Pike,FALSE
16-080,John Dory ,John Dory ,3,Marine fishes,34,Miscellaneous demersal fishes,,,,7,Other marine fish,53,John dory,TRUE
16-081,Kalabasu ,Kalabasu ,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",LCB,Labeo calbasu,Orangefin labeo,1,Freshwater fish,8,Other freshwater fish,TRUE
16-186,Katla ,Katla ,1,Freshwater fishes,11,"Carps, barbels and other cyprinids",CTT,Gibelion catla,Catla,1,Freshwater fish,8,Other freshwater fish,TRUE
16-379,Lemon sole  ,Lemon sole  ,3,Marine fishes,31,"Flounders, halibuts, soles",LEM,Microstomus kitt,Lemon sole,4,Flatfish,31,"Sole, other",FALSE
16-091,Ling ,Ling ,3,Marine fishes,32,"Cods, hakes, haddocks",,,,3,Groundfish,17,Ling,TRUE
16-393,Mackerel  ,Mackerel  ,3,Marine fishes,36,"Tunas, bonitos, billfishes",,,,5,Small pelagics,38,Mackerel,TRUE
16-092,Monkfish  ,Monkfish  ,3,Marine fishes,34,Miscellaneous demersal fishes,,,,7,Other marine fish,54,Monk,TRUE
16-095,Mullet Grey  ,Grey mullet,3,Marine fishes,33,Miscellaneous coastal fishes,MUF,Mugil cephalus,Flathead grey mullet,7,Other marine fish,62,Other marine fish,FALSE
16-098,Mullet Red  ,Red mullet,3,Marine fishes,33,Miscellaneous coastal fishes,,,,7,Other marine fish,57,Red mullet,TRUE
16-497,Mussels ,Mussels ,5,Molluscs,54,Mussels,,,,10,Bivalves and other molluscs and aquatic invertebrates,77,"Mussel, other",TRUE
,Mussels ,Mussels ,5,Molluscs,54,Mussels,,,,10,Bivalves and other molluscs and aquatic invertebrates,92,Mussel Mytilus spp.,TRUE
16-259,Octopus ,Octopus ,5,Molluscs,57,"Squids, cuttlefishes, octopuses",,,,9,Cephalopods,74,Octopus,TRUE
16-199,Orange roughy ,Orange roughy ,3,Marine fishes,34,Miscellaneous demersal fishes,ORY,Hoplostethus atlanticus,Orange roughy,7,Other marine fish,62,Other marine fish,FALSE
16-260,Oysters ,Oysters ,5,Molluscs,53,Oysters,,,,10,Bivalves and other molluscs and aquatic invertebrates,79,Oyster,TRUE
16-261,Oysters  weighed with shells,REMOVE,,,,,,,,,,,,
16-382,Pangasius  ,Pangasius  ,1,Freshwater fishes,13,Miscellaneous freshwater fishes,,,,1,Freshwater fish,4,Pangasius,TRUE
16-101,Parrot fish ,Parrotfish,1,Freshwater fishes,13,Miscellaneous freshwater fishes,OMP,Hippopotamyrus discorhynchus,Zambesi parrotfish,1,Freshwater fish,8,Other freshwater fish,TRUE
16-101,Parrot fish ,Parrotfish,1,Freshwater fishes,13,Miscellaneous freshwater fishes,DLO,Cyphomyrus discorhynchus,Zambesi parrotfish,1,Freshwater fish,8,Other freshwater fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USJ,Calotomus japonicus,Japanese parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,ULG,Calotomus carolinus,Carolines parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,ULY,Calotomus spinidens,Spinytooth parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UNV,Calotomus viridescens,Viridescent parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UUG,Chlorurus gibbus,Heavybeak parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UUS,Chlorurus sordidus,Daisy parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UUY,Chlorurus strongylocephalus,Steephead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UUP,Chlorurus bleekeri,Bleeker's parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UUV,Chlorurus frontalis,Pacific slopehead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UUD,Chlorurus bowersi,Bower's parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UKC,Chlorurus cyanescens,Blue humphead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UWC,Chlorurus enneacanthus,Captain parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UKZ,Chlorurus japanensis,Palecheek parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,NCD,Nicholsina denticulata,Loosetooth parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,QCJ,Nicholsina usta,Emerald parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,RMF,Sparisoma aurofrenatum,Redband parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,RSY,Sparisoma chrysopterum,Redtail parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,PRR,Sparisoma cretense,Parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,QZV,Sparisoma rubripinne,Redfin parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,QHI,Sparisoma atomarium,Greenblotch parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,QRV,Sparisoma viride,Stoplight parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,NKP,Sparisoma radians,Bucktooth parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USU,Scarus coeruleus,Blue parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVT,Scarus vetula,Queen parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USF,Scarus forsteni,Forsten's parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USS,Scarus iserti,Striped parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USN,Scarus taeniopterus,Princess parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USW,Scarus persicus,Gulf parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USZ,Scarus frenatus,Bridled parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USY,Scarus ghobban,Blue-barred parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVN,Scarus niger,Dusky parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVB,Scarus hoefleri,Guinean parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVD,Scarus psittacus,Common parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVE,Scarus rubroviolaceus,Ember parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVG,Scarus russelii,Eclipse parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UVH,Scarus tricolor,Tricolour parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UAW,Scarus arabicus,Arabian parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UBG,Scarus ferrugineus,Rusty parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UBJ,Scarus fuscopurpureus,Purple-brown parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UYS,Scarus caudofasciatus,Redbarred parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UKS,Scarus falcipinnis,Sicklefin parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UKV,Scarus festivus,Festive parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,ULZ,Scarus globiceps,Globehead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UME,Scarus scaber,Fivesaddle parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,UMF,Scarus viridifucatus,Roundhead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,QUF,Scarus guacamaia,Rainbow parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,MWD,Scarus coelestinus,Midnight parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,LOV,Leptoscarus vaigiensis,Marbled parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,OUR,Cryptotomus roseus,Bluelip parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,HJH,Hipposcarus harid,Candelamoa parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,HJZ,Hipposcarus longiceps,Pacific longnose parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,USR,Cetoscarus bicolor,Bicolour parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,BMK,Bolbometopon muricatum,Green humphead parrotfish,7,Other marine fish,62,Other marine fish,TRUE
16-101,Parrot fish ,Parrotfish,3,Marine fishes,33,Miscellaneous coastal fishes,PWT,Scaridae,Parrotfishes nei,7,Other marine fish,62,Other marine fish,TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",NTJ,Acanthopsetta nadeshnyi,Scale-eye plaice,7,Other marine fish,62,Other marine fish,TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",PLE,Pleuronectes platessa,European plaice,4,Flatfish,99,"Plaice, European",TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",ALP,Pleuronectes quadrituberculatus,Alaska plaice,4,Flatfish,30,"Plaice, other",TRUE
16-381,Plaice  ,Plaice  ,3,Marine fishes,31,"Flounders, halibuts, soles",PLA,Hippoglossoides platessoides,Amer. plaice(=Long rough dab),4,Flatfish,30,"Plaice, other",TRUE
16-378,Pollock Alaskan  ,Alaskan pollock,3,Marine fishes,32,"Cods, hakes, haddocks",ALK,Gadus chalcogrammus,Alaska pollock(=Walleye poll.),3,Groundfish,87,Alaska pollock,FALSE
16-124,Pomfret black ,Black pomfret,3,Marine fishes,37,Miscellaneous pelagic fishes,POB,Parastromateus niger,Black pomfret,7,Other marine fish,62,Other marine fish,FALSE
16-125,Pomfret white ,White pomfret,3,Marine fishes,37,Miscellaneous pelagic fishes,SIP,Pampus argenteus,Silver pomfret,7,Other marine fish,62,Other marine fish,TRUE
16-125,Pomfret white ,White pomfret,3,Marine fishes,37,Miscellaneous pelagic fishes,XPO,Pampus spp,Silver pomfrets nei,7,Other marine fish,62,Other marine fish,TRUE
16-387,Pns king ,King prawns,4,Crustaceans,45,"Shrimps, prawns",PNP,Penaeus plebejus,Eastern king prawn,8,Crustaceans,70,"Shrimp, warmwater",TRUE
16-387,Pns king ,King prawns,4,Crustaceans,45,"Shrimps, prawns",WKP,Penaeus latisulcatus,Western king prawn,8,Crustaceans,70,"Shrimp, warmwater",TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,RES,Lutjanus argentimaculatus,Mangrove red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LUB,Lutjanus sebae,Emperor red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,LUJ,Lutjanus vitta,Brownstripe red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,SNC,Lutjanus purpureus,Southern red snapper,7,Other marine fish,62,Other marine fish,TRUE
16-126,Red snapper  ,Red snapper  ,3,Marine fishes,33,Miscellaneous coastal fishes,SNR,Lutjanus campechanus,Northern red snapper,7,Other marine fish,62,Other marine fish,TRUE
